# English loanwords as they appear in Devanagari Hindi transcripts -> standard English spelling.
# Built from the ~2,500 most frequent words in the IndicVoices Hindi transcripts (valid + first train shard).
# Ambiguous forms (e.g. पी = "P" or "drink", वेट = "wait" or "weight") are deliberately left out.
# devanagari	english
सर	sir
रेफ्रिजरेटर	refrigerator
सूप	soup
ड्राइ	dry
क्लीनिंग	cleaning
कर्टेन्स	curtains
होर्डिंग्स	hoardings
एक्टिविटी	activity
स्लाइड्स	slides
स्टेप्स	steps
एन्ड	and
स्टिक	stick
क्रोस	cross
ऑफर	offer
फोल्ड	fold
रिलायंस	reliance
क्लॉक	clock
कर्टन्स	curtains
कैपिटल	capital
टाइगर	tiger
स्पेशलिस्ट	specialist
गिफ्ट्स	gifts
कार्नर	corner
ब्लैकबोर्ड	blackboard
ड्रिल	drill
स्टडी	study
बाटा	bata
<noise>साइड	side
रिंग्स	rings
गार्डनिंग	gardening
बुल्डिंग	building
जिओ	jio
नैपकिन	napkin
वियर	wear
एफ	f
<noise>फोटो	photo
क्लिप	clip
एडमिशन	admission
बुकस	books
नट	nut
पेन्सिल	pencil
स्पेयर	spare
फेवीक्विक	feviquick
सोडा	soda
चाइल्ड	child
स्टोर्स	stores
फ्लॉवर्स	flowers
कार्टून्स	cartoons
डिस्को	disco
एचपी	h.p
डाइट	diet
एजुकेशन	education
चॉकलेटस	chocolates
ग्रिल्स	grills
बॉयस	boys
पोजीशन	position
टैग	tag
मरून	maroon
सर्फ	surf
अटेंड	attend
कबोर्ड	cupboard
कवर्ड	covered
मैंगो	mango
डस्टबीन	dustbin
सूटकेस	suitcase
पीकॉक	peacock
डीलर	dealer
कंक्रीट	concrete
लिफ्टिंग	lifting
जॉगिंग	jogging
ट्रेनर	trainer
इयरफोन	earphone
आल	all
ड्रैगन	dragon
टॉकीज	talkies
चेयरें	chair
बोक्सेस	boxes
पिल्लर्स	pillars
टैबलेट	tablet
डिवाइड	divide
आईटीआई	i.t.i
ब्लु	blue
गम	gum
होटेल	hotel
साइकल्स	cycles
साइक	side
लेक्चर	lecture
रॉकेट	rocket
अपोजिट	opposite
कैक्टस	cactus
बारकोड	barcode
लैट	light
शैडो	shadow
हॉटेल	hotel
बिलिंग	billing
बाउंडरी	boundary
विकेट	wicket
फ्लाईओवर	flyover
रोड्स	roads
सॉकेट	socket
बाइ	bike
फिगर	figure
टच	touch
लगेज	luggage
फ्लाई	fly
चैंबर	chamber
एसेसरीज	accessories
वुडन	wooden
डोक्टर	doctor
फ्लोर्स	floors
इलेक्ट्रिशियन	electrician
स्टूल्स	stools
पेंटेड	painted
सेटिंग	setting
हैवी	heavy
सर्विसेज	services
स्टुल	stool
स्टेबलाइजर	stabilizer
पैथोलॉजी	pathology
आउटडोर	outdoor
डायमंड	diamond
वॉशरूम	washroom
प्लाईवुड	plywood
फॉर्चून	fortune
फ्लेक्स	flex
प्लंबर	plumber
पोर्ट	port
मॉडल्स	models
कपबोर्ड	cupboard
विश	wish
मॉल्स	malls
मदर	mother
बेनर	banner
फिनिश	finish
पिच्चर	picture
योर	your
केक्स	cakes
फैब्रिक	fabric
एम्यूजमेंट	amusement
परफेक्ट	perfect
मोबाइल्स	mobiles
क्यूआर	qr
अल्मुनियम	aluminium
इंजिनियर	engineer
स्क्वायर	square
ब्राइट	bright
ट्वेल्व	twelve
मैनेजर	manager
आर्ट्स	arts
प्रोवाइड	provide
पिज़्जा	pizza
बेंक	bank
जेकेट	jacket
जेड	z
लेदर	leather
सिलिंडर	cylinder
स्टैंडो	stand
कम्पलीट	complete
चौमिन	chowmein
बॉउन्ड्री	boundry
इस्टेज	stage
ट्रेनों	train
लैंड	land
बोर्डस	boards
स्प्लेंडर	splendor
फेसिअल	facial
नोट्स	notes
एमटी	m.t
कैफै	cafe
ईयर	year
थीम	theme
चेस	chess
सटर	shutter
सिमेन्ट	cement
विंग	wing
जॅकेट	jacket
बोटले	bottle
आइडसाइड	side
बाल्कनी	balcony
अंडरग्राउंड	underground
प्रैक्टिकल	practical
चेन	chain
नीड्स	needs
वुड	wood
सुपरमार्केट	supermarket
ज़ेबरा	zebra
सर्कस	circus
ओनर	owner
फ़ैन	fan
रेस्टोरंट	restaurant
केम्पस	campus
हैल्थ	health
बिल्डिंगो	building
फेक्टरी	factory
स्लाइस	slice
वाइज	wise
मैग्गी	maggi
कार्डबोर्ड	cardboard
<noise>इमेज	image
सेल्फ़ी	selfie
वेराइटी	variety
हेडलाइट	headlight
मैंन	main
अंपायर	umpire
हैण्ड	hand
बेलून	balloon
सिग्नल	signal
कैम्प	camp
बूथ	booth
लाईट्स	lights
फिनिशिंग	finishing
बर्ड्स	birds
पेंडल	pendal
जॉय	joy
शैप	shape
क्रीमी	creamy
बंबू	bamboo
बिसलरी	bisleri
मॉडर्न	modern
वेस्टर्न	western
फिलिंग	filling
आर्टिफीसियल	artificial
ट्रेंड	trend
मोबिल	mobil
बाउन्ड्री	boundary
कॉस्ट्यूम	costume
मसल्स	muscles
अट्रैक्टिव	attractive
पाइपें	pipe
पीक	pic
सेंट	scent
टेंसफॉर्मर	transformer
वैक्सीन	vaccine
ड्राम	drum
चॉक	chalk
ओवरब्रिज	overbridge
कैंडल्स	candles
पर्सेंट	percent
यमहा	yamaha
एक्सर्साइज़	exercise
ग्रेन	green
डिस्ट्रिक्ट	district
लेपटॉप	laptop
जॉइंट	joint
ग्रेनाइट	granite
चिल्ली	chilli
लेस	lays
रैली	rally
बसेज	buses
सिलिंग	ceiling
स्टेपलर	stapler
वेटर	waiter
शूटिंग	shooting
वोल	wall
पाइपलाइन	pipeline
पोस	pose
डिजाइंस	designs
गेटे	gate
माइक्रो	micro
केटल	kettle
एक्सरसाइज़	exercise
लेडीजें	ladies
सॉक्स	socks
डिझाईन	design
यूटिलिटी	utility
सीजर	scissor
कंडीशनर	conditioner
बुकें	book
कैबिन्स	cabins
विंडोस	window
होस्पिटल	hospital
बिलडिंग	building
परसन	person
बेन्चेस	benches
शेक	shake
लाईटिंग	lighting
फॅन	fan
एक्सचेंज	exchange
अल्टो	alto
कमोड	commode
मॅट	mat
पॉकेट	pocket
गेट्स	gates
बेस	base
मैन्यू	menu
डस्ट	dust
नाइनटीन	nineteen
बूस्ट	boost
शॉर्ट	short
ब्लैंकेट	blanket
टिफिन	tiffin
माउंटेन	mountain
होस्टल	hostel
इंडस्ट्री	industry
गर्ल	girl
म्युजियम	museum
विवो	vivo
कैरियर	carrier
ग्रैंड	grand
<static_noise>साइड	side
पंचर	puncture
स्केच	sketch
क्लॉथस	cloths
कनेक्टेड	connected
ऐड	ad
मैजिक	magic
ट्रांसपोर्ट	transport
सिन	scene
बैटिंग	batting
सिरप	syrup
मेटल	metal
पाइनएप्पल	pineapple
यूनिट	unit
गुड्स	goods
कैबिनेट	cabinet
फिल्टर	filter
रिजॉर्ट	resort
अकॉर्डिंग	according
गॅरेज	garage
लाइव	live
टावल	towel
मरकरी	mercury
मेडिटेशन	meditation
ब्रिगेड	fire brigade
न्यूजपेपर	newspaper
बंपर	bumper
टाइमर	timer
गॉगल्स	goggles
फोंस	phones
बाइबल	bible
सूट्स	suits
पेंटर	painter
कंपलेक्स	complex
कभर	cover
रिसॉर्ट	resort
किचेन	kitchen
क्लोज	close
ट्रांसमीटर	transmeter
वॉशिंग	washing
एल्युमिनियम	aluminium
कप्स	cups
एक्सेसरीज	accessories
हीटर	heater
डेस्कटॉप	desktop
हाइड	hide
टैप	tap
सिम्युलेटर	simulator
कैफेटेरिया	cafeteria
वाकिंग	walking
ब्लोक्स	blocks
बल्फ	bulb
बेसिकली	basically
डेकरैशन	decoration
वर्ड	word
ओट्स	oats
एनिमल्स	animals
लिपस्टिक	lipstick
टेंपल	temple
चैंपियन	champion
बैनर्स	banners
प्रोफेसर	professor
जूम	zoom
आईडिया	idea
एनिवर्सरी	anniversary
सेकेंड	second
क्लासेज	classes
एंटरप्राइज	enterprise
रूफ	roof
मेकेनिक	mechanic
ट्रोफी	trophy
रेडिमेंट	readymade
स्टीम	steam
हुंडई	hyundai
मेनेजर	manager
कंपनियों	company
एटीम	a.t.m
रिफाइन	refine
रिपोर्ट	report
क्रिश्चन	christian
पैंथर	panther
पैकिट	packet
डेंजरस	dangerous
ओरिओ	oreo
पोर्शन	portion
एक्टिविटीज	activities
नम्बर्स	numbers
डॉक्टर्स	doctors
न्यूज़	news
<noise>हेलो	hello
सोल्जर	soldier
स्टेच्यु	statue
<noise>कार	car
विडियो	video
वॉलेट	wallet
चेस्ट	chest
टावेल	towel
मार्कर	marker
ट्रांसफर	transfer
बैंक्वेट	banquet
लेडिसे	ladies
प्योर	pure
माउंट	mount
सीटी	city
क्रॉसिंग	crossing
वेजिटेबल	vegetable
मैनेज	manage
वाटरफॉल	waterfall
ड्रम्स	drums
पार्सल	parcel
शोरुम	showroom
लोटस	lotus
मिलिट्री	military
टाईप	type
परफॉरमेंस	performance
टु	two
रिपब्लिक	republic
बर्थ	birth
पिस	piece
कोविड	covid
हॉट	hot
स्टॉक	stock
हार्पिक	harpic
स्ट्रॉबेरी	strawberry
लायब्ररी	library
ट्रेडर्स	traders
ट्रेवल्स	travels
बाइकस	bikes
लॉन्ग	long
क्राउन	crown
क्लाइंट	client
स्लाइडस	slides
ग्राउण्ड	ground
बॉटले	bottle
डिपार्मेंट	department
डायरेक्टर	director
विथ	with
फोम	foam
स्टेयर	stair
टॉफ़ी	toffee
नूडल्स	noodles
हैयर	hair
एक्सपर्ट	expert
सैलेड	salad
स्लाईड	slide
लैंग्वेज	language
कॉरीडोर	corridor
रियल	real
कंट्रोल	control
कैप्टन	captain
एक्सप्रेस	express
बड़ौदा	baroda
डेम्प	dam
जियो	jio
स्टिकर्स	stickers
स्पेंड	spend
स्लो	slow
लूकिंग	looking
होल्डिंग्स	holdings
इंग्लैंड	england
टेलीग्राम	telegram
मिक्चर	mixture
एंटरटेनमेंट	entertainment
प्लेयर	player
ईसीजी	e.c.g
स्कैन	scan
एकेडेमी	academy
टेरिस	terrace
प्रिन्ट	print
माइलेज	mileage
हाइट	height
पोस्टरें	poster
चिल्ड्रेन	children
कैमरामैन	cameraman
रिसेप्शनिस्ट	receptionist
स्ट्रैट	straight
डिस्ट्रिक	district
लायन	lion
नोटबुक	notebook
फोटोशूट	photoshoot
चार्जिंग	charging
शोकेश	showcase
फुटेज	footage
पोस्‍टर	poster
रिफ्रेशमेंट	refreshment
फेन्स	fans
हैंडवाश	handwash
स्टंप	stump
इअर	ear
चेंबर	chamber
लाइट्	light
पार्टिसिपेट	participate
फर्निचर	furniture
टेरेस	terrace
चैक	check
ट्रिपल	triple
मफलर	muffler
लौंड्री	laundry
ओला	ola
स्टोरी	story
लायटिंग	lighting
हुक	hook
अवार्ड	award
मशीना	machine
ड्रामा	drama
डिजायन	design
फोटोन	photo
फ्लैट्स	flats
ईमेज	image
देयर	there
ब्रांचेस	branches
इनकम	income
मेजर	major
अप्पर	upper
बाइसेप्स	biceps
मेमोरी	memory
लेयर	layer
एयरप्लेन	airplane
वेल	well
पिरामिड	pyramid
बैरियर	barrier
एंटर	enter
एलेक्ट्रिक	electric
कारपेंटर	carpenter
शटर्स	shutters
ट्रेवल	travel
बोटल्स	bottles
बिग	big
साइडसाइड	side-side
कम्युनिटी	community
कर्टेंस	curtains
गीजर	geyser
कवर्स	covers
एडवरटाइजिंग	advertising
स्लोप	slop
<noise>स्कूल	school
वाटरपार्क	waterpark
पैंट्स	pants
कपल	couple
लेमन	lemon
पॉन्ड	pond
टनल	tunnel
अपोलो	apollo
चेकिंग	checking
वाइट्	white
क्लासिक	classic
बुलडोज़र	bulldozer
कैप्चर	capture
कॉम्पिटिशन	competition
मेरीगोल्ड	marigold
पार्टीशन	partition
फ्रीज़र	freezer
डोमिनोज	dominos
ओभर	over
ग्लूकोज	glucose
लाइटर	lighter
एंटरप्राइजेज	enterprises
मैक्स	max
सेमिनार	seminar
किड	kid
वाइपर	wiper
इनवर्टर	inverter
शौप	shop
सनलाइट	sunlight
रश	rush
लॉबी	lobby
ट्रैक्टर्स	tractors
हेलीकॉप्टर	helicopter
टैडी	teddy
कीपैड	keypad
थर्माकोल	thermocol
स्विचेस	switches
क्राउड	crowd
डम्मी	dummy
प्रेजेंटेशन	presentation
लाउडस्पीकर	loudspeaker
पोडियम	podium
स्टार्टिंग	starting
एवरी	every
एडवर्टाइजमेंट	advertisement
फुटवियर	footwear
टाइलों	tile
शावर	shower
टाइपिंग	typing
केमिकल	chemical
फॉरविलर{फोरव्हीलर}	four-wheeler
क्रशर	crusher
होप	hope
पिलरों	pillar
डेकोरेशंस	decorations
रुपे	rupee
शुज	shoes
स्प्लिट	split
बैच	batch
डेल	dell
शेफ	chef
बाक्स	box
ऑडिटोरियम	auditorium
वाटरमेलन	watermelon
फोर्स	force
ऑफसर	officer
व्‍हाइट	white
इनफार्मेशन	information
अन्डर	under
आँटी	aunty
ब्रिटिश	british
पाथवे	pathway
न्यूज	news
अनाउंसमेंट	announcement
प्रोन्स	prawns
पेलेस	palace
सिम्बल	symbol
कोलोनी	colony
लाइटस्	lights
राड	rod
जिन्स	jeans
बार्डर	border
स्टैर्स	stairs
चिप्प{चिप्स}	chips
शोपिंग	shopping
टेक्सचर	texture
<noise>साइकिल	cycle
टोटली	totally
ब्रिक	brick
केमिस्ट	chemist
सीलिंग्स	ceilings
पोलीस	polish
सिविल	civil
ड्रॉअर	drawer
मैगज़ीन	magazine
राइटिंग	writing
फंक्शनस	functions
मार्केट्स	markets
बॉउंड्रीज़	boundaries
डिटेल्स	details
बीआर	b.r
होर्लिक्स	horlicks
इन्वर्टर	inverter
फ़िल्टर	filter
पोक्लैन	poclain
स्टैण्ड	stand
बीओआई	b.o.i
विजन	vision
गारेंमेंट्स	garments
काम्प्लेक्स	complex
स्टेशनों	station
इंडिकैश	indicash
ग्रेजुएशन	graduation
स्माइल	smile
कोटक	kotak
सीयूबी	c.u.b
चोकलेट	chocolate
टिउब	tube
एग	egg
जेनरल	general
फ़ेडरल	federal
गॉर्ड	guard
यैलो	yellow
पोलिथीन	polythene
पेक	pack
बोर्डे	board
थेयटर	theatre
चोकलेटी	chocolaty
हॉफ	half
बिस्कीट	biscuit
काउच	couch
डिस्पोजल	disposal
प्राइड	pride
प्रट्रोल	petrol
गिम	gym
शार्क	shark
सॉफ्ट	soft
सेंटरिंग	centering
रूल	rule
हैडफ़ोन	headphone
बैरियर्स	barriers
जैकिट	jacket
टेन्ट	tent
केमरे	camera
स्लाइडेड	slided
साईट	site
मेटल्स	metals
साइडस	sides
चोक	chalk
कैस्ट्रॉल	castrol
प्रोपर	proper
बॉइज	boys
हैलाइटिंग	lighting
डीजाइन	design
मेटे	met
साइकलिंग	cycling
लोकेट	locate
फुटबोल	football
थर्ड	third
पोटस	pots
बाम्बू	bamboo
ऐरोप्लान	aeroplane
टिफ़िन	tiffin
ब्वॉयज	boys
चोकोलेटी	chocolaty
मिलक{मिल्क}	milk
डेकोरेटिव	decorative
प्रिंस	prince
रोलिंग	rolling
मसल	muscle
गेन	gain
कम्पीटिशन	competition
म्यूजिकल	musical
कंडिशनर	conditioner
आईपिएस	i.p.s
हेवन	heaven
स्कोप	scope
हेलीकाप्टर	helicopter
रस्क	rusk
पीवीआर	p.v.r
प्लेटफोर्म	platform
ग्लैमर	glamour
अपाचे	apache
एमआरपी	m.r.p
फ्रेंच	french
स्पेशली	specially
बुकस्टोर	bookstore
टर्निंग	turning
टवेंटी	twenty
गॉडफादर	godfather
स्वेटएर्स	sweaters
<noise>बोर्ड	board
स्केल	scale
फॉलो	follow
ब्रैंड	brand
बाईक्स	bikes
पोर्च	porch
शौरूम	showroom
असेंबली	assembly
कुर्सीटेबल	table
फिजिक्स	physics
एडिटिंग	editing
सॉन्ग	song
किंडर	kinder
ट्राइ	try
डोम्स	doms
फिशेस	fishes
मैडल	medal
स्कूटिस	scooties
बॉलकनी	balcony
पोंड्स	ponds
लोशन	lotion
एचडीएफ	h.d.f
हैलमेट	helmet
बैलूनस	balloons
अपडेशन	updation
बिल्डिग	building
टियूबलाइट	tubelight
सिमेंट	cement
सेल्लो	cello
बेड्स	beds
लाफिंग	laughing
ऐंगल	angle
विव	view
लॉकअप	lockup
बफर	buffer
थाउसंड	thousand
कॉन्सेप्ट	concept
रैकेट	racket
डील	deal
लैंपपोस्ट	lamppost
डाइपर	diaper
मेडिसन	medicine
शट्टर	shutter
प्राइमरी	primary
फ्रूटस	fruits
केंडल	candle
क्लीनर्स	cleaners
कूलर्स	coolers
बोतलस	bottles
लपटप	laptop
बोल्डर	bolder
वाओ	wow
ऑक्सफोर्ड	oxford
डिक्शनरी	dictionary
अमेरिकन	american
गार्निशिंग	garnishing
हैसाइड	side
हाइड्रा	hydra
वाच	watch
पर्क	perk
शेम्पू	shampoo
सीयुबी	c.u.b
कण्ट्रोल	control
रिसेंटली	recently
पैशन	passion
हैलोजन	halogen
ब्रेकफ़ास्ट	breakfast
वर्कशाप	workshop
डीप	deep
अगेंस्ट	against
लाउड	loud
बोन	bone
अगस्त	august
इंडिपेंडेंस	independence
बिस्किुट	biscuit
ओरियो	oreo
बूट	boot
<noise>लाइट	light
एप्लायंसेज	appliances
हॉउस	house
पुशअप	pushup
मोटरसाईकिल	motorcycle
रेड़	red
वेंटिलेशन	ventilation
ट्रांस्फोर्म्र	transformer
मेडिको	medico
ज़ू	zoo
रेयलमि	realme
टिना	tin
सलून{सैलून}	salon
प्लस्तर	plaster
प्लैट	plate
एव्रीवन	everyone
डिसप्ले	display
हेंड	hand
फार्मा	pharma
ग्राइंडिंग	grinding
रत्नास	ratna''''s
रेस्टोरेन्ट	restaurant
क्लाससेस	classes
पीसी	p.c
क्‍लास	class
कोरिडोर	corridor
पल्स	pulse
डूर	door
कम्पौंड	compound
शाप	shop
कंस्ट्रक्सन	construction
ड्रोइंग	drawing
शेडो	shadow
कम्पार्टमेंट	compartment
टैलेंट	talent
स्कार्फ	scarf
पलास्टिक	plastic
लिक्विड	liquid
लाईटा	light
राइट्स	rights
आर्टिफिसियल	artificial
पाइप्स	pipes
पलंबर	plambar
डेकरैट	decorate
पेन्स	pens
पिंकिश	pinkish
बॉम्बे	bombay
राइज	rise
फील्डर	fielder
डेरी{डेयरी}	dairy
आर्टिकल्स	articles
आर्किटेक्चर	architecture
फलफ्रूट	fruit
वॉलपेपर्स	wallpapers
टीशर्टस	t-shirts
स्टैण्डर्ड	standard
पिट्रोल	petrol
मुंबई	mumbai
एजंसी	agency
क्लासिस	classes
डम्ब्बेल	dumbbell
पीरियड	period
हॅलो	hello
इनट्रान्स	entrance
कोरिएंडर	coriander
जीपे	jeep
स्क्रीन्स	screens
क्रिकेटर	cricketer
विक्स	vicks
बुलेरो	bolero
कॉक	cock
टैल्सन	tiles
स्त्रीटस	streets
कारी	car
पावरहाउस	powerhouse
ग्राऊंड	ground
होमियोपैथ	homeopath
लॅपटॉप	laptop
इंस्ट्रूमेंट्स	instruments
जेरोक्स	xerox
कम्पटीशन	competition
ओन	on
कम्प्युटर	computer
थर्मोकोल	thermocol
अटैच	attach
क्रैक्स	cracks
हैल्प	help
पोस्टरन	poster
शोकेष	showcase
टायगर	tiger
वीलर	wheeler
लोंडरी	laundry
जेली	jelly
लुकिंग	looking
लिटिल	little
लोडिंग	loading
लोडेड	loaded
रैबिट	rabbit
लौंच	launch
वंडर	wonder
बिल्ट	built
टॉर्च	torch
क्लाउड	cloud
अमाउंट	amount
बिल्डींगे	building
पब	pub
क्रशिंग	crushing
फुटवेयर	footwear
टूर्नामेंटस	tournaments
फार्महाउस	farmhouse
साइकील	cycle
मशिने	machine
सैंडविच	sandwich
इको	eco
फूटबॉल	football
कैटरिंग	catering
पॅकेट	packet
ट्रोली	trolley
डेअरी	dairy
फॅक्टरी	factory
डॅम	dam
वूडन	wooden
यम्मी	yummy
प्लेटमे	plate
पॅन्ट	pant
बॅकग्राउंड	background
डैडी	daddy
कलरके	colour
फ़ैक्टरी	factory
डैम्प	damp
कंपाऊंड	compound
स्टाचू	statue
वाव	wow
बूक	book
मॅडम	madam
एजन्सी	agency
जम्पिंग	jumping
जिराफ़	giraffe
रिसिप्शन	reception
स्केलेटन	skeleton
डायरेक्शन	direction
थेरेपी	therapy
शेल्वेस	shelves
इंस्टीटूट	institute
टॅक्सी	taxi
वेंटीलेटर	ventilator
शॉट्स	shots
टावर्स	towers
फोल्डिंग	folding
<noise>पिक्चर	picture
पंपलेट	pamphlet
ऑप्शन	option
डिटेल	detail
मार्जिन	margin
डेड	dead
न्यूज़पेपर	newspaper
जैम	jam
मूव	move
हैल्लो	hello
टेबलो	table
होण्डा	honda
मालस	malls
मल्टीस	multies
सेंटाक्लॉस	santa claus
बटरफ्लाई	butterfly
<people_talking>साइड	side
हैट	hat
डिशेज	dishes
कर्टंस	curtains
फैन्स	fans
अपाची	apache
ब्यूटीफूल	beautiful
बैम्बू	bamboo
बैरिकेड	barricade
फाइटर	fighter
सरकल	circle
वेन्यू	venue
<static_noise>वाइट	white
फोटोग्राफर	photographer
शाडे	shade
रोलर	roller
क्राफ्टिंग	crafting
टैबले	table
अस्सोसिअत	associate
ब्रदर	brother
डोरमैट	doormat
प्लान्ट	show plant
डिज़ाइनर	designer
कॉस्मेटिकस	cosmetics
बल्क	bulk
ऑपरेट	operate
बीएसएनएल	b.s.n.l
कॉन्टैक्ट	contact
ऐक्सिस	axis
कलेंडर	calendar
वाइब	vibe
नैशनल	national
स्कूली	scooty
मंकी	monkey
वाक	walk
स्केनर	scanner
डिस	dish
वाट	white
व्यूक	view
पेकेट	packet
हॉर्स	horse
लाइटींग	lighting
टॉप्स	tops
इंस्ट्रक्शन	instruction
ओनली	only
पर्सन्स	persons
रॉयल्स	royals
लाइटे{लाइटें}	light
टाल्स	tiles
शैलून	salon
फील्डिंग	fielding
टॉवर्स	towers
आर्टिस्ट	artist
सिल्क	silk
यार्ड	yard
एलीफेंट	elephant
टेडीज	teddies
डाइनोसर	dinosaur
किंगडम	kingdom
स्ट्रिप्स	strips
यूनाइटेड	united
मेन्यू	menu
कैनरा	canara
लिस्ट	list
सर्टिफिकेट्स	certificates
ओनर्स	owners
ओवन	oven
टाइस	tiles
अंटी	aunty
एस्केलेटर	escalator
इलेक्ट्रो	electro
ऑथराइज्ड	authorised
स्टिंग	sting
वूफर	woofer
ज्वैलर्स	jewellers
गाटर	gatar
स्प्रिंग	spring
ड्रेसे	dress
मैंट	mat
रेंट	rent
जॉइन	join
टॉस	toss
एक्सटीरियर	exterior
रिक्से	rickshaw
रैंकों	rack
लर्निंग	learning
बायर्स	buyers
बॉर्डर्स	borders
पोस्टरस	posters
इलेक्शन	election
सीटों	seat
सैलॉन	salon
वाशरूम	washroom
थ्रेसर	thresher
जॉनसन	johnson
टब्स	tubs
एलिवेशन	elevation
बकेट्स	buckets
एलुमिनियम	aluminium
नेक	neck
बैरीकेडिंग	barricading
अल्युमिनियम	aluminium
राइनो	rhino
बल्ब्स	bulbs
सिक्युरिटी	security
एक्सटिंग्विशर	fire extinguisher
आइसक्रीमस	icecreams
सर्जरी	surgery
ग्लोब	globe
बॉडीगार्ड	bodyguard
फ़िशेस	fishes
ग्लू	glue
डिपार्टमेंटल	departmental
वूमेन	women
पलस्तरा	plaster
स्मार्टफोन	smartphone
पुटी	putty
सैनिटरी	sanitary
डेवलपमेंट	development
फिक्स्ड	fixed
मिडल	middle
मेडिसिंस	medicines
नाइट्रोजन	nitrogen
पैसेंजर्स	passengers
इलेक्ट्रॉनिकस	electronics
टाइ	tie
अंबुजा	ambuja
डेंटिस्ट	dentist
स्कूटीयों	scooty
चार्च	church
लारेज	lounge
स्टीयरिंग	steering
पॉलथिन	polythene
कॉन्बिनेशन	combination
हसबैंड	husband
डिस्कस	discuss
लाइटिंगस	lightings
पलाई	ply
रोडवेज	roadways
ओइल	oil
कुरियर	courier
एकझोस्ट	exhaust
कैम्पर	camper
<noise>ब्लैक	black
एलो	yellow
सुर्विस	service
लैबोरेट्री	laboratory
सेलर्स	sellers
अपार्टमेंट्स	apartments
पेपरों	paper
बोटानिकल	botanical
किंग	king
डॉग्स	dogs
वीकल्स	vehicles
स्नेक	snake
फार्मर	farmer
शोल्डर	shoulder
डोर्स	doors
थार	thar
स्मॉल	small
कैडबरी	cadbury
आफ	of
हैंग	hang
गोट	goat
पीलर	pillar
क्रेने	crane
बाकिट	bucket
गेमिंग	gaming
डिस्कसन	discussion
टोयोटा	toyota
फ़्लावर	flower
मोटीवेट	motivate
टेलिकॉम	telecom
<static_noise>बिल्डिंग	building
फ्लेवर्स	flavours
मसाजिंग	massaging
अर्बन	urban
ट्रैवलर	traveller
वाॅव	wow
अलहाबाद	allahabad
सरियों	sariya
शरटें	shirts
बाक्सों	box
स्टैंड्स	stands
फोन्स	phones
साइडे	side
मिक्सचर	mixture
इयररिंग्स	earrings
वेफर	wafer
लैंडिंग	landing
इव्हीकल	e-vehicle
कैटरर्स	caterers
कॉइंस	coins
बड्स	ear buds
बोरिंग	boring
टाइड	tide
पाइपों	pipe
आउटसाइड	outside
वाइरिंग	wiring
फ्लावरस	flowers
बिकॉज	because
शोकैस	showcase
एडजस्ट	adjust
पैकेजिंग	packaging
अकॅडमी	academy
बेसमेंट	basement
ग्राइंड	grind
प्लांटस	plants
फेविक्विक	feviquick
नॉर्थ	north
होम्योपैथिक	homeopathic
सैंडल्स	sandals
झारखंड	jharkhand
डांसर	dancer
क्रिएशन	creation
स्पॉट	picnic spot
एल्बम	album
इंटरेस्टिंग	interesting
ओरिगामी	origami
ज्वेलरीज	jewellery
आल्सो	also
स्पैंड	spand
ऐरिया	area
मोबाइले	mobile
पॉपकॉर्न	popcorn
स्किप	skip
कैप्स	caps
स्मोकिंग	no smoking
<static_noise>विंडो	window
रेन्जर	ranger
कैंडी	candy
क्रॉकरी	crockery
ब्रेकफास्ट	breakfast
स्टेरिंग	steering
फ्रेमिंग	framing
